HomeTeam,AwayTeam,Div,season,Date,FTR,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
Bielefeld,Fortuna Dusseldorf,D2,2010,26/11/10,A,0,2,0,2,A,,,,,,,,,,,,
Bochum,Paderborn,D2,2010,26/11/10,H,3,0,0,0,D,,,,,,,,,,,,
Frankfurt FSV,Osnabruck,D2,2010,26/11/10,H,4,1,4,0,H,,,,,,,,,,,,
Aachen,Augsburg,D2,2010,27/11/10,A,1,3,0,1,A,,,,,,,,,,,,
Hertha,Duisburg,D2,2010,27/11/10,A,0,2,0,0,D,,,,,,,,,,,,
Cottbus,Erzgebirge Aue,D2,2010,28/11/10,H,6,0,2,0,H,,,,,,,,,,,,
Ingolstadt,Union Berlin,D2,2010,28/11/10,H,1,0,0,0,D,,,,,,,,,,,,
Karlsruhe,Oberhausen,D2,2010,28/11/10,H,4,0,1,0,H,,,,,,,,,,,,
Greuther Furth,Munich 1860,D2,2010,29/11/10,H,1,0,1,0,H,,,,,,,,,,,,
Duisburg,Frankfurt FSV,D2,2010,03/12/10,A,1,3,1,2,A,,,,,,,,,,,,
Oberhausen,Aachen,D2,2010,03/12/10,A,1,2,0,1,A,,,,,,,,,,,,
Osnabruck,Paderborn,D2,2010,03/12/10,D,2,2,0,0,D,,,,,,,,,,,,
Augsburg,Cottbus,D2,2010,04/12/10,H,4,0,2,0,H,,,,,,,,,,,,
Bielefeld,Greuther Furth,D2,2010,04/12/10,A,1,4,0,1,A,,,,,,,,,,,,
Erzgebirge Aue,Ingolstadt,D2,2010,05/12/10,D,1,1,0,0,D,,,,,,,,,,,,
Fortuna Dusseldorf,Karlsruhe,D2,2010,05/12/10,H,1,0,1,0,H,,,,,,,,,,,,
Munich 1860,Hertha,D2,2010,05/12/10,H,1,0,1,0,H,,,,,,,,,,,,
Union Berlin,Bochum,D2,2010,06/12/10,A,0,1,0,1,A,,,,,,,,,,,,
Aachen,Fortuna Dusseldorf,D2,2010,10/12/10,D,0,0,0,0,D,,,,,,,,,,,,
Greuther Furth,Oberhausen,D2,2010,10/12/10,D,0,0,0,0,D,,,,,,,,,,,,
Karlsruhe,Bielefeld,D2,2010,10/12/10,H,1,0,1,0,H,,,,,,,,,,,,
Frankfurt FSV,Augsburg,D2,2010,11/12/10,A,1,2,0,0,D,,,,,,,,,,,,
Paderborn,Duisburg,D2,2010,11/12/10,D,0,0,0,0,D,,,,,,,,,,,,
Bochum,Osnabruck,D2,2010,12/12/10,H,2,1,0,1,A,,,,,,,,,,,,
Hertha,Erzgebirge Aue,D2,2010,12/12/10,H,2,0,1,0,H,,,,,,,,,,,,
Ingolstadt,Munich 1860,D2,2010,12/12/10,D,1,1,0,0,D,,,,,,,,,,,,
Cottbus,Union Berlin,D2,2010,13/12/10,D,0,0,0,0,D,,,,,,,,,,,,
Bielefeld,Aachen,D2,2010,17/12/10,A,1,3,0,1,A,,,,,,,,,,,,
Duisburg,Bochum,D2,2010,17/12/10,A,0,1,0,0,D,,,,,,,,,,,,
Augsburg,Hertha,D2,2010,18/12/10,D,1,1,0,1,A,,,,,,,,,,,,
Fortuna Dusseldorf,Greuther Furth,D2,2010,18/12/10,H,1,0,0,0,D,,,,,,,,,,,,
Munich 1860,Paderborn,D2,2010,19/12/10,A,0,1,0,1,A,,,,,,,,,,,,
Oberhausen,Cottbus,D2,2010,19/12/10,A,0,4,0,2,A,,,,,,,,,,,,
Osnabruck,Ingolstadt,D2,2010,19/12/10,H,2,1,0,1,A,,,,,,,,,,,,
Union Berlin,Karlsruhe,D2,2010,20/12/10,H,3,1,0,1,A,,,,,,,,,,,,
Karlsruhe,Greuther Furth,D2,2010,14/01/11,D,1,1,0,0,D,,,,,,,,,,,,
Union Berlin,Aachen,D2,2010,14/01/11,H,2,1,1,0,H,,,,,,,,,,,,
Fortuna Dusseldorf,Cottbus,D2,2010,15/01/11,H,3,1,1,0,H,,,,,,,,,,,,
Munich 1860,Bochum,D2,2010,15/01/11,A,1,3,0,1,A,,,,,,,,,,,,
Augsburg,Ingolstadt,D2,2010,16/01/11,H,2,0,1,0,H,,,,,,,,,,,,
Bielefeld,Frankfurt FSV,D2,2010,16/01/11,D,1,1,0,0,D,,,,,,,,,,,,
Duisburg,Osnabruck,D2,2010,16/01/11,H,4,1,1,1,D,,,,,,,,,,,,
Oberhausen,Hertha,D2,2010,17/01/11,A,1,3,1,1,D,,,,,,,,,,,,
Erzgebirge Aue,Paderborn,D2,2010,18/01/11,H,1,0,0,0,D,,,,,,,,,,,,
Ingolstadt,Duisburg,D2,2010,21/01/11,D,1,1,0,0,D,,,,,,,,,,,,
Osnabruck,Munich 1860,D2,2010,21/01/11,A,0,1,0,0,D,,,,,,,,,,,,
Paderborn,Augsburg,D2,2010,21/01/11,D,1,1,1,1,D,,,,,,,,,,,,
Aachen,Karlsruhe,D2,2010,22/01/11,H,4,2,3,1,H,,,,,,,,,,,,
Cottbus,Bielefeld,D2,2010,22/01/11,H,2,1,1,0,H,,,,,,,,,,,,
Frankfurt FSV,Oberhausen,D2,2010,23/01/11,H,4,0,1,0,H,,,,,,,,,,,,
Greuther Furth,Union Berlin,D2,2010,23/01/11,H,1,0,0,0,D,,,,,,,,,,,,
Hertha,Fortuna Dusseldorf,D2,2010,23/01/11,H,4,2,1,1,D,,,,,,,,,,,,
Bochum,Erzgebirge Aue,D2,2010,24/01/11,H,2,0,0,0,D,,,,,,,,,,,,
Erzgebirge Aue,Osnabruck,D2,2010,28/01/11,A,0,1,0,0,D,,,,,,,,,,,,
Fortuna Dusseldorf,Frankfurt FSV,D2,2010,28/01/11,H,6,0,2,0,H,,,,,,,,,,,,
Oberhausen,Ingolstadt,D2,2010,28/01/11,D,1,1,0,1,A,,,,,,,,,,,,
Aachen,Greuther Furth,D2,2010,29/01/11,D,2,2,1,2,A,,,,,,,,,,,,
Munich 1860,Duisburg,D2,2010,29/01/11,D,1,1,1,0,H,,,,,,,,,,,,
Bielefeld,Hertha,D2,2010,30/01/11,A,1,3,0,2,A,,,,,,,,,,,,
Karlsruhe,Cottbus,D2,2010,30/01/11,H,1,0,1,0,H,,,,,,,,,,,,
Union Berlin,Paderborn,D2,2010,30/01/11,A,0,2,0,1,A,,,,,,,,,,,,
Augsburg,Bochum,D2,2010,31/01/11,A,0,1,0,0,D,,,,,,,,,,,,
Erzgebirge Aue,Frankfurt FSV,D2,2010,01/02/11,H,3,1,1,0,H,,,,,,,,,,,,
Cottbus,Aachen,D2,2010,04/02/11,D,3,3,2,3,A,,,,,,,,,,,,
Frankfurt FSV,Greuther Furth,D2,2010,04/02/11,D,0,0,0,0,D,,,,,,,,,,,,
Osnabruck,Augsburg,D2,2010,04/02/11,A,0,2,0,1,A,,,,,,,,,,,,
Hertha,Union Berlin,D2,2010,05/02/11,A,1,2,1,1,D,,,,,,,,,,,,
Paderborn,Karlsruhe,D2,2010,05/02/11,H,3,0,0,0,D,,,,,,,,,,,,
Bochum,Oberhausen,D2,2010,06/02/11,H,2,1,1,1,D,,,,,,,,,,,,
Duisburg,Erzgebirge Aue,D2,2010,06/02/11,H,3,1,1,0,H,,,,,,,,,,,,
Ingolstadt,Bielefeld,D2,2010,06/02/11,H,1,0,1,0,H,,,,,,,,,,,,
Munich 1860,Fortuna Dusseldorf,D2,2010,07/02/11,D,1,1,1,0,H,,,,,,,,,,,,
Augsburg,Duisburg,D2,2010,11/02/11,D,0,0,0,0,D,,,,,,,,,,,,
Oberhausen,Paderborn,D2,2010,11/02/11,H,2,0,1,0,H,,,,,,,,,,,,
Union Berlin,Osnabruck,D2,2010,11/02/11,D,3,3,0,1,A,,,,,,,,,,,,
Aachen,Frankfurt FSV,D2,2010,12/02/11,H,2,1,1,0,H,,,,,,,,,,,,
Greuther Furth,Cottbus,D2,2010,12/02/11,H,3,1,1,0,H,,,,,,,,,,,,
Bielefeld,Bochum,D2,2010,13/02/11,D,2,2,1,1,D,,,,,,,,,,,,
Fortuna Dusseldorf,Ingolstadt,D2,2010,13/02/11,H,3,1,1,0,H,,,,,,,,,,,,
Karlsruhe,Hertha,D2,2010,13/02/11,A,2,6,1,0,H,,,,,,,,,,,,
Erzgebirge Aue,Munich 1860,D2,2010,14/02/11,H,1,0,0,0,D,,,,,,,,,,,,
Bochum,Fortuna Dusseldorf,D2,2010,18/02/11,H,2,0,1,0,H,,,,,,,,,,,,
Ingolstadt,Greuther Furth,D2,2010,18/02/11,A,0,2,0,1,A,,,,,,,,,,,,
Munich 1860,Augsburg,D2,2010,18/02/11,A,0,2,0,1,A,,,,,,,,,,,,
Duisburg,Union Berlin,D2,2010,19/02/11,A,0,1,0,1,A,,,,,,,,,,,,
Paderborn,Aachen,D2,2010,19/02/11,A,1,3,1,2,A,,,,,,,,,,,,
Erzgebirge Aue,Bielefeld,D2,2010,20/02/11,H,3,0,2,0,H,,,,,,,,,,,,
Frankfurt FSV,Karlsruhe,D2,2010,20/02/11,A,1,2,1,1,D,,,,,,,,,,,,
Osnabruck,Oberhausen,D2,2010,20/02/11,H,3,1,2,1,H,,,,,,,,,,,,
Hertha,Cottbus,D2,2010,21/02/11,D,2,2,2,2,D,,,,,,,,,,,,
Cottbus,Frankfurt FSV,D2,2010,25/02/11,H,2,1,0,0,D,,,,,,,,,,,,
Oberhausen,Duisburg,D2,2010,25/02/11,D,0,0,0,0,D,,,,,,,,,,,,
Union Berlin,Munich 1860,D2,2010,25/02/11,A,0,1,0,0,D,,,,,,,,,,,,
Aachen,Hertha,D2,2010,26/02/11,A,0,5,0,3,A,,,,,,,,,,,,
Bielefeld,Paderborn,D2,2010,26/02/11,D,1,1,1,0,H,,,,,,,,,,,,
Fortuna Dusseldorf,Osnabruck,D2,2010,27/02/11,H,2,1,1,0,H,,,,,,,,,,,,
Greuther Furth,Bochum,D2,2010,27/02/11,D,1,1,0,1,A,,,,,,,,,,,,
Karlsruhe,Ingolstadt,D2,2010,27/02/11,A,1,4,0,2,A,,,,,,,,,,,,
Augsburg,Erzgebirge Aue,D2,2010,28/02/11,H,2,1,0,0,D,,,,,,,,,,,,
Hertha,Frankfurt FSV,D2,2010,04/03/11,H,3,1,2,1,H,,,,,,,,,,,,
Munich 1860,Oberhausen,D2,2010,04/03/11,D,1,1,0,0,D,,,,,,,,,,,,
Osnabruck,Greuther Furth,D2,2010,04/03/11,A,0,2,0,1,A,,,,,,,,,,,,
Bochum,Karlsruhe,D2,2010,05/03/11,D,1,1,0,0,D,,,,,,,,,,,,
Paderborn,Cottbus,D2,2010,05/03/11,A,0,5,0,4,A,,,,,,,,,,,,
Duisburg,Bielefeld,D2,2010,06/03/11,A,1,2,0,1,A,,,,,,,,,,,,
Erzgebirge Aue,Union Berlin,D2,2010,06/03/11,D,0,0,0,0,D,,,,,,,,,,,,
Ingolstadt,Aachen,D2,2010,06/03/11,H,2,1,2,1,H,,,,,,,,,,,,
Augsburg,Fortuna Dusseldorf,D2,2010,07/03/11,H,5,2,1,2,A,,,,,,,,,,,,
Frankfurt FSV,Ingolstadt,D2,2010,11/03/11,A,1,2,0,0,D,,,,,,,,,,,,
Karlsruhe,Duisburg,D2,2010,11/03/11,H,3,1,2,0,H,,,,,,,,,,,,
Oberhausen,Erzgebirge Aue,D2,2010,11/03/11,A,1,2,0,1,A,,,,,,,,,,,,
Fortuna Dusseldorf,Paderborn,D2,2010,12/03/11,D,0,0,0,0,D,,,,,,,,,,,,
Union Berlin,Augsburg,D2,2010,12/03/11,D,0,0,0,0,D,,,,,,,,,,,,
Aachen,Bochum,D2,2010,13/03/11,A,1,3,1,1,D,,,,,,,,,,,,
Bielefeld,Munich 1860,D2,2010,13/03/11,A,0,3,0,1,A,,,,,,,,,,,,
Cottbus,Osnabruck,D2,2010,13/03/11,H,2,0,0,0,D,,,,,,,,,,,,
Greuther Furth,Hertha,D2,2010,14/03/11,A,0,2,0,1,A,,,,,,,,,,,,
Duisburg,Fortuna Dusseldorf,D2,2010,18/03/11,H,1,0,0,0,D,,,,,,,,,,,,
Ingolstadt,Hertha,D2,2010,18/03/11,D,1,1,0,0,D,,,,,,,,,,,,
Munich 1860,Karlsruhe,D2,2010,18/03/11,H,5,1,3,0,H,,,,,,,,,,,,
Augsburg,Oberhausen,D2,2010,19/03/11,H,2,0,1,0,H,,,,,,,,,,,,
Osnabruck,Aachen,D2,2010,19/03/11,A,1,3,0,0,D,,,,,,,,,,,,
Erzgebirge Aue,Greuther Furth,D2,2010,20/03/11,D,0,0,0,0,D,,,,,,,,,,,,
Paderborn,Frankfurt FSV,D2,2010,20/03/11,D,2,2,2,1,H,,,,,,,,,,,,
Union Berlin,Bielefeld,D2,2010,20/03/11,D,2,2,1,2,A,,,,,,,,,,,,
Bochum,Cottbus,D2,2010,21/03/11,H,1,0,0,0,D,,,,,,,,,,,,
Bielefeld,Augsburg,D2,2010,01/04/11,A,0,2,0,0,D,,,,,,,,,,,,
Cottbus,Ingolstadt,D2,2010,01/04/11,A,1,2,0,2,A,,,,,,,,,,,,
Karlsruhe,Osnabruck,D2,2010,01/04/11,D,2,2,1,1,D,,,,,,,,,,,,
Fortuna Dusseldorf,Erzgebirge Aue,D2,2010,02/04/11,H,3,0,2,0,H,,,,,,,,,,,,
Greuther Furth,Duisburg,D2,2010,02/04/11,H,2,1,1,1,D,,,,,,,,,,,,
Aachen,Munich 1860,D2,2010,03/04/11,H,2,1,1,0,H,,,,,,,,,,,,
Hertha,Paderborn,D2,2010,03/04/11,H,2,0,2,0,H,,,,,,,,,,,,
Oberhausen,Union Berlin,D2,2010,03/04/11,A,0,2,0,0,D,,,,,,,,,,,,
Frankfurt FSV,Bochum,D2,2010,04/04/11,A,0,1,0,1,A,,,,,,,,,,,,
